Price_USD_per_MWh,Quantity_MW,Hour,Day,Point,maxSOC_MWh,Hybrid_Name
0.9864739891268772,-47.549356708333335,20.0,4,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,20,4,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,20.0,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,21,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,21,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,22,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,22,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,23,4,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,23,4,2,240.0,HYB_DA_RT_C2
999.9,1e-10,0,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,0,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,1,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,1,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,2,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,2,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,3,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,3,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,4,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,4,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,5,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,5,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,6,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,6,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,7,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,7,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,8,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,8,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,9,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,9,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,10,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,10,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,11,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,11,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,12,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,12,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,13,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,13,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,14,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,14,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,15,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,15,5,2,240.0,HYB_DA_RT_C2
0.3712302653217674,-60.0,16.0,5,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,16,5,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,16.0,5,2,240.0,HYB_DA_RT_C2
0.4567148459640944,-47.463685,17.0,5,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,17,5,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,17.0,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,18,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,18,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,19,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,19,5,2,240.0,HYB_DA_RT_C2
0.9864739891268772,-47.549356708333335,20.0,5,-1,240.0,HYB_DA_RT_C2
999.9,1e-10,20,5,1,240.0,HYB_DA_RT_C2
1000.0,1e-10,20.0,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,21,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,21,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,22,5,1,240.0,HYB_DA_RT_C2
1000,0.1000000001,22,5,2,240.0,HYB_DA_RT_C2
999.9,1e-10,23,5,1,240.0,HYB_DA_RT_C2
